 ,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
199107,4.24,-0.92,-1.32,0.49,4.32,2.13,0.72
199108,2.32,1.58,-0.78,0.46,1.57,-2.92,-0.5
199109,-1.59,1.64,-1.08,0.46,1.79,-0.76,-0.73
199110,1.29,0.81,-0.47,0.42,3.06,-1.18,2.35
199111,-4.19,-0.5,-1.89,0.39,1.14,-0.4,-2.75
199112,10.84,-2.24,-4.17,0.38,8.19,1.06,-0.9
199201,-0.59,8.46,4.71,0.34,-2.49,5.22,9.44
199202,1.09,0.87,6.47,0.28,-0.53,-2.9,5.27
199203,-2.66,-1.04,3.56,0.34,-0.29,-1.09,1.42
199204,1.07,-6.06,4.34,0.32,-2.58,-3.38,0.78
199205,0.3,0.41,1.19,0.28,0.21,-0.16,-0.5
199206,-2.34,-3.07,3.24,0.32,-0.58,0.91,1.21
199207,3.77,-0.47,-0.56,0.31,1.56,2.12,-1.36
199208,-2.38,-0.13,-1.1,0.26,-0.51,-1.56,-4.11
199209,1.19,0.54,-0.26,0.26,1.49,-1.12,0.09
199210,1.02,2.09,-1.98,0.23,2.48,-0.2,-0.9
199211,4.13,3.76,-1.35,0.23,-0.15,-1.04,0.32
199212,1.53,1.69,2.62,0.28,4.31,1.23,0.85
199301,0.93,1.89,5.94,0.23,4.83,-0.45,5.55
199302,0.12,-3.48,6.42,0.22,3.14,-1.49,4.21
199303,2.3,0.24,1.18,0.25,3.73,-0.95,1.88
199304,-3.05,-0.67,2.49,0.24,0.38,-1.71,2.37
199305,2.89,2.04,-3.42,0.22,0.22,1.49,1.32
199306,0.31,-0.29,2.75,0.25,4.55,2.24,1.72
199307,-0.34,0.96,2.85,0.24,3.16,-2.69,1.01
199308,3.71,0.13,0.13,0.25,2.65,1.28,1.11
199309,-0.12,3.04,-0.31,0.26,3.37,0.69,0.62
199310,1.41,2.03,-2.76,0.22,-2.72,1.9,1.67
199311,-1.89,-1.25,-0.74,0.25,-4.74,-1.39,1.53
199312,1.65,1.23,0.32,0.23,2.36,1.07,0.4
199401,2.87,0.34,1.15,0.25,0.0,1.69,3.83
199402,-2.55,2.8,-1.54,0.21,-0.3,0.36,-0.12
199403,-4.78,-1.08,1.6,0.27,-1.27,0.09,0.62
199404,0.68,-0.93,1.66,0.27,0.39,-0.38,0.19
199405,0.58,-2.15,0.67,0.31,-2.19,0.06,1.65
199406,-3.03,-0.41,1.67,0.31,-0.87,0.15,0.47
199407,2.82,-1.81,0.58,0.28,0.18,1.44,0.51
199408,4.01,1.45,-2.51,0.37,1.55,1.44,2.28
199409,-2.31,3.14,-1.89,0.37,1.31,-0.77,1.67
199410,1.34,-2.24,-1.62,0.38,1.49,-0.22,0.67
199411,-4.04,0.25,-0.7,0.37,-0.18,-2.01,-1.61
199412,0.86,0.22,-0.13,0.44,3.48,0.81,0.21
199501,1.8,-3.5,2.57,0.42,-1.81,4.0,-0.55
199502,3.63,-0.66,1.08,0.4,-0.39,2.39,-1.02
199503,2.19,-0.16,-2.15,0.46,0.43,-0.04,1.23
199504,2.11,-0.49,1.71,0.44,1.79,-0.52,0.37
199505,2.9,-2.55,2.29,0.54,-0.42,-0.46,-1.14
199506,2.72,3.18,-2.54,0.47,2.93,1.23,-1.76
199507,3.72,2.07,-1.62,0.45,2.56,-2.12,-0.86
199508,0.55,1.35,2.79,0.47,0.16,1.28,-1.13
199509,3.35,-2.2,-0.04,0.43,2.9,-0.89,-0.97
199510,-1.52,-3.78,-0.5,0.47,4.16,-1.02,0.61
199511,3.96,-1.09,0.51,0.42,-0.68,0.6,0.75
199512,1.03,0.7,0.22,0.49,2.52,-0.98,3.99
199601,2.26,-2.73,0.38,0.43,0.54,1.0,1.27
199602,1.33,1.79,-1.08,0.39,0.59,2.17,-1.29
199603,0.73,1.49,0.35,0.39,-1.84,-0.11,-0.25
199604,2.06,5.23,-4.02,0.46,-0.88,0.69,-0.72
199605,2.36,3.17,-0.83,0.42,1.54,-1.07,1.24
199606,-1.14,-4.01,2.35,0.4,0.98,-0.18,-0.15
199607,-5.97,-4.31,5.14,0.45,-0.16,-2.44,-0.01
199608,2.77,2.44,-0.74,0.41,0.01,2.55,-1.59
199609,5.01,-0.98,-2.72,0.44,2.7,0.54,-2.13
199610,0.86,-4.44,4.94,0.42,3.79,-1.12,0.09
199611,6.25,-4.02,1.39,0.41,-2.37,0.21,-2.46
199612,-1.7,3.16,1.31,0.46,0.63,0.64,-0.57
199701,4.99,-1.95,-1.42,0.45,1.96,2.62,-1.55
199702,-0.49,-3.22,5.67,0.39,-2.13,1.25,0.89
199703,-5.03,-0.36,3.39,0.43,0.9,0.88,2.09
199704,4.04,-5.77,0.07,0.43,4.84,2.43,-3.86
199705,6.74,5.19,-4.13,0.49,-5.17,2.87,-2.15
199706,4.1,1.22,1.58,0.37,2.6,0.73,0.18
199707,7.33,-2.74,0.26,0.43,3.77,3.87,-1.16
199708,-4.15,7.28,1.18,0.41,-2.56,-0.16,3.18
199709,5.35,2.53,0.37,0.44,1.47,1.7,-0.41
199710,-3.8,-0.74,2.27,0.42,-0.57,-0.96,0.43
199711,2.98,-5.11,1.19,0.39,0.33,-2.01,1.08
199712,1.32,-2.49,3.84,0.48,3.98,-2.91,0.1
199801,0.15,-1.06,-1.63,0.43,0.14,5.02,-0.91
199802,7.04,0.32,-0.85,0.39,-1.12,1.92,-1.29
199803,4.76,-1.14,1.39,0.39,2.15,1.84,2.22
199804,0.73,0.07,0.94,0.43,0.74,1.7,-0.87
199805,-3.07,-3.36,3.4,0.4,1.82,0.74,1.42
199806,3.18,-3.2,-1.97,0.41,7.28,-1.44,-0.76
199807,-2.46,-4.92,-1.78,0.4,3.69,-2.02,0.27
199808,-16.08,-5.7,3.53,0.43,1.84,-2.66,4.63
199809,6.15,0.1,-3.42,0.46,-0.81,2.75,0.33
199810,7.13,-3.12,-2.23,0.32,-5.37,9.85,-4.25
199811,6.1,1.22,-3.25,0.31,1.2,1.32,-0.44
199812,6.16,-0.5,-4.19,0.38,8.92,-1.63,-0.97
199901,3.5,0.76,-4.6,0.35,3.03,-2.32,1.04
199902,-4.08,-6.09,1.92,0.35,-0.1,2.46,0.38
199903,3.45,-3.79,-2.74,0.43,-1.27,0.21,-1.21
199904,4.33,3.91,2.46,0.37,-9.04,2.37,5.46
199905,-2.46,3.34,2.35,0.34,-5.19,1.21,3.41
199906,4.77,3.09,-3.19,0.4,5.06,1.7,0.59
199907,-3.49,2.6,-0.44,0.38,1.66,1.54,1.87
199908,-1.38,-0.94,-1.87,0.39,3.12,-3.39,-1.82
199909,-2.79,3.41,-3.5,0.39,6.47,-0.61,0.39
199910,6.12,-6.64,-3.37,0.39,5.5,-1.49,-2.86
199911,3.37,7.2,-6.11,0.36,5.64,0.43,4.84
199912,7.72,7.02,-8.32,0.44,13.22,-14.01,5.5
200001,-4.74,5.79,-1.91,0.41,1.92,2.61,1.67
200002,2.45,21.42,-9.7,0.43,18.2,-13.47,7.33
200003,5.2,-17.23,8.17,0.47,-6.83,9.89,-5.15
200004,-6.4,-6.68,7.26,0.46,-8.39,-2.18,0.28
200005,-4.42,-6.09,4.81,0.5,-8.98,-8.89,-1.67
200006,4.64,12.85,-8.43,0.4,16.6,12.39,2.4
200007,-2.51,-3.06,8.3,0.48,-0.05,6.51,-3.06
200008,7.03,-0.62,-1.38,0.5,5.73,0.54,1.21
200009,-5.45,-1.82,7.17,0.51,1.97,2.64,-2.6
200010,-2.76,-3.87,5.7,0.56,-4.48,-4.8,-0.93
200011,-10.72,-3.43,12.32,0.51,-2.32,-14.63,0.48
200012,1.19,0.72,7.61,0.5,6.74,-6.88,2.75
200101,3.13,6.69,-5.09,0.54,-25.3,16.21,-2.57
200102,-10.05,-0.79,12.48,0.38,12.57,12.19,10.99
200103,-7.26,0.24,6.42,0.42,8.55,-7.54,3.71
200104,7.94,0.55,-4.68,0.39,-7.9,9.87,-3.75
200105,0.72,2.49,3.38,0.32,2.21,3.8,3.76
200106,-1.94,6.24,-1.13,0.28,0.38,0.6,1.81
200107,-2.13,-4.19,5.21,0.3,5.58,1.38,2.82
200108,-6.46,2.48,2.3,0.31,5.53,-3.9,5.89
200109,-9.25,-6.23,1.45,0.28,11.48,-4.96,0.01
200110,2.46,7.49,-7.66,0.22,-8.47,14.84,-1.53
200111,7.54,-0.47,2.22,0.17,-8.69,-3.13,0.4
200112,1.6,4.73,0.85,0.15,0.07,1.68,1.11
200201,-1.44,1.19,3.44,0.14,3.75,2.13,3.3
200202,-2.29,-1.0,2.16,0.13,6.82,0.05,4.07
200203,4.24,4.21,1.06,0.13,-1.64,2.75,2.08
200204,-5.2,5.96,3.88,0.15,7.63,2.11,5.96
200205,-1.38,-3.21,1.53,0.14,3.16,-2.68,2.35
200206,-7.21,4.29,-0.03,0.13,6.03,-3.58,2.09
200207,-8.18,-5.28,-3.85,0.15,3.77,1.28,-3.04
200208,0.5,-2.86,3.29,0.14,1.9,1.52,-0.54
200209,-10.35,2.4,1.47,0.14,9.13,-1.77,-0.68
200210,7.84,-3.4,-3.94,0.14,-5.58,7.39,-0.2
200211,5.96,3.19,-1.21,0.12,-16.33,0.18,4.22
200212,-5.76,0.09,2.14,0.11,9.64,10.74,2.05
200301,-2.57,1.35,-0.81,0.1,1.55,0.28,0.31
200302,-1.88,-0.45,-1.38,0.09,1.17,-0.69,-1.85
200303,1.09,1.03,-1.91,0.1,1.48,0.03,-2.75
200304,8.22,0.66,1.17,0.1,-9.33,3.0,-0.82
200305,6.05,4.74,0.5,0.09,-10.7,-1.52,3.53
200306,1.42,1.77,0.15,0.1,-1.0,-0.11,1.2
200307,2.35,5.05,-1.24,0.07,-0.24,2.49,0.8
200308,2.34,2.59,1.54,0.07,-0.62,-1.5,-0.47
200309,-1.24,0.8,0.15,0.08,-0.19,4.62,1.1
200310,6.08,2.69,1.97,0.07,3.99,2.17,2.0
200311,1.35,2.07,1.78,0.07,1.46,-1.57,1.92
200312,4.29,-2.68,1.61,0.08,-5.57,1.84,1.92
200401,2.15,2.55,2.48,0.07,2.58,2.32,2.01
200402,1.4,-1.58,0.91,0.06,-1.14,1.55,-2.93
200403,-1.32,1.72,0.28,0.09,0.17,-2.16,-1.77
200404,-1.83,-1.68,-3.09,0.08,-5.38,-0.2,-2.23
200405,1.17,-0.2,-0.24,0.06,1.5,2.28,0.88
200406,1.86,2.26,1.19,0.08,2.05,0.32,1.76
200407,-4.06,-3.81,3.23,0.1,-2.29,-1.41,-2.53
200408,0.08,-1.49,1.0,0.11,-1.59,-2.39,-2.91
200409,1.6,3.02,-0.01,0.11,5.49,3.1,-1.34
200410,1.43,0.15,-0.22,0.11,-1.38,0.25,0.93
200411,4.54,3.74,1.42,0.15,3.16,1.53,-1.12
200412,3.43,-0.03,-0.22,0.16,-2.87,0.94,0.88
200501,-2.76,-1.72,2.06,0.16,3.05,1.46,-2.97
200502,1.89,-0.57,1.53,0.16,3.37,-2.45,-1.44
200503,-1.97,-1.4,2.04,0.21,0.41,0.09,-0.69
200504,-2.61,-3.93,0.06,0.21,-0.69,-1.84,-1.44
200505,3.65,2.89,-0.64,0.24,0.45,3.17,0.6
200506,0.57,2.59,2.82,0.23,2.05,0.03,-1.55
200507,3.92,2.9,-0.78,0.24,0.06,-0.17,0.88
200508,-1.22,-0.98,1.32,0.3,2.08,-1.37,0.41
200509,0.49,-0.66,0.72,0.29,3.43,-3.69,-0.07
200510,-2.02,-1.25,0.43,0.27,-1.39,1.61,-0.93
200511,3.61,1.0,-1.18,0.31,0.35,0.1,0.27
200512,-0.25,-0.42,0.2,0.32,0.77,2.04,-0.89
200601,3.04,5.39,1.08,0.35,2.53,-1.0,1.2
200602,-0.3,-0.38,-0.35,0.34,-1.84,3.39,1.3
200603,1.46,3.45,0.59,0.37,1.26,-0.08,0.51
200604,0.73,-1.42,2.34,0.36,0.64,-0.33,-0.37
200605,-3.57,-2.96,2.42,0.43,-3.7,-0.04,-0.14
200606,-0.35,-0.39,0.85,0.4,1.54,-0.57,-1.1
200607,-0.78,-3.98,2.62,0.4,-2.12,0.22,1.43
200608,2.03,1.03,-2.06,0.42,-3.38,1.77,2.99
200609,1.84,-1.36,0.08,0.41,-0.96,0.76,1.78
200610,3.23,1.75,-0.3,0.41,-0.2,-0.26,-0.51
200611,1.71,0.7,0.14,0.42,-1.03,-0.91,-1.91
200612,0.87,-1.15,2.73,0.4,0.79,2.41,1.93
200701,1.4,0.13,-0.69,0.44,0.24,1.09,-0.72
200702,-1.96,1.18,-0.13,0.38,-1.35,0.18,-0.68
200703,0.68,0.16,-0.96,0.43,2.56,-2.05,-1.14
200704,3.49,-2.15,-1.46,0.44,-0.24,-0.31,0.31
200705,3.24,0.24,-0.65,0.41,-0.34,-0.99,-2.48
200706,-1.96,0.76,-1.07,0.4,0.51,-0.65,-0.16
200707,-3.73,-2.6,-3.72,0.4,2.94,-3.59,-2.06
200708,0.92,-0.13,-1.86,0.42,0.1,-2.61,-0.11
200709,3.22,-2.22,-2.23,0.32,4.63,0.36,-2.81
200710,1.8,0.13,-3.05,0.32,5.02,-3.96,-1.57
200711,-4.83,-2.92,-0.95,0.34,0.99,-1.69,0.64
200712,-0.87,0.12,-0.54,0.27,6.63,-2.05,-1.89
200801,-6.36,-1.04,3.98,0.21,-7.75,6.93,1.79
200802,-3.09,-0.43,-0.84,0.13,6.1,5.05,-2.09
200803,-0.93,0.71,0.3,0.17,4.27,-0.37,2.85
200804,4.6,-1.65,-1.04,0.18,-0.31,3.13,-4.53
200805,1.86,3.0,-1.49,0.18,3.31,-2.28,-4.45
200806,-8.44,1.2,-2.67,0.17,12.75,-7.09,-3.17
200807,-0.77,2.61,5.42,0.15,-5.13,7.94,7.59
200808,1.53,3.6,1.59,0.13,-4.02,-0.51,1.39
200809,-9.24,-1.23,5.92,0.15,0.28,-3.75,5.78
200810,-17.23,-2.6,-2.3,0.08,7.85,-9.37,2.23
200811,-7.86,-2.85,-6.31,0.03,7.17,-9.99,-2.54
200812,1.74,3.46,0.15,0.0,-5.09,5.46,0.11
200901,-8.12,0.08,-11.29,0.0,-2.18,0.18,-6.97
200902,-10.1,0.05,-6.95,0.01,4.41,-7.01,1.16
200903,8.95,0.04,3.48,0.02,-11.87,3.04,3.57
200904,10.18,5.39,5.36,0.01,-34.3,-6.52,-0.33
200905,5.21,-2.52,0.27,0.0,-12.49,-2.71,-1.48
200906,0.43,2.63,-2.73,0.01,5.48,4.8,1.31
200907,7.72,1.87,4.84,0.01,-5.55,4.43,5.05
200908,3.33,-1.08,7.63,0.01,-9.07,-2.08,5.62
200909,4.08,2.43,1.04,0.01,-4.79,1.12,-1.68
200910,-2.59,-4.34,-4.2,0.0,2.61,2.14,-4.9
200911,5.56,-2.39,-0.34,0.0,0.3,0.45,1.39
200912,2.75,6.04,-0.17,0.01,3.01,1.47,0.71
201001,-3.36,0.4,0.43,0.0,-5.4,3.64,1.63
201002,3.4,1.19,3.23,0.0,3.74,1.63,2.62
201003,6.31,1.48,2.21,0.01,3.76,0.8,4.41
201004,2.0,4.87,2.89,0.01,3.16,-1.86,4.81
201005,-7.89,0.09,-2.44,0.01,-0.25,0.52,-3.07
201006,-5.57,-1.82,-4.7,0.01,-2.76,-4.87,-5.47
201007,6.93,0.22,-0.33,0.01,1.88,4.11,0.76
201008,-4.77,-2.98,-1.93,0.01,-0.06,1.0,-3.85
201009,9.54,3.97,-3.18,0.01,1.41,3.29,1.93
201010,3.88,1.19,-2.51,0.01,1.58,-1.34,-2.27
201011,0.6,3.74,-0.92,0.01,2.66,-0.95,-0.93
201012,6.82,0.69,3.76,0.01,-3.03,2.27,4.71
201101,1.99,-2.45,0.75,0.01,-0.29,-0.09,0.88
201102,3.49,1.53,1.27,0.01,1.99,-0.69,1.14
201103,0.46,2.56,-1.85,0.01,3.4,-0.86,-2.0
201104,2.9,-0.33,-2.49,0.0,0.04,-1.08,-2.21
201105,-1.27,-0.67,-2.0,0.0,-0.62,-1.22,-2.43
201106,-1.75,-0.15,-0.39,0.0,1.78,-0.93,-1.96
201107,-2.35,-1.27,-0.9,0.0,0.18,-1.07,-2.49
201108,-5.99,-3.05,-2.36,0.01,-0.28,-1.35,-6.31
201109,-7.59,-3.31,-1.72,0.0,-2.42,-9.57,-5.15
201110,11.35,3.28,0.1,0.0,-1.43,12.21,3.65
201111,-0.28,-0.16,-0.45,0.0,3.84,1.25,-3.48
201112,0.74,-0.59,1.63,0.0,1.81,-1.54,2.09
201201,5.05,2.03,-0.97,0.0,-7.91,6.52,1.58
201202,4.42,-1.85,0.43,0.0,-0.29,-0.34,1.73
201203,3.11,-0.65,1.14,0.0,1.3,-0.8,2.73
201204,-0.85,-0.41,-0.78,0.0,3.75,-0.46,-1.87
201205,-6.19,0.07,-1.06,0.01,6.49,-3.34,-1.75
201206,3.89,0.67,0.62,0.0,-1.06,-0.79,1.66
201207,0.79,-2.77,-0.02,0.0,3.04,1.47,-1.96
201208,2.55,0.48,1.3,0.01,-2.37,3.03,1.87
201209,2.73,0.51,1.6,0.01,-1.14,-0.19,1.79
201210,-1.76,-1.16,3.59,0.01,0.14,0.25,1.06
201211,0.78,0.64,-0.84,0.01,0.49,0.91,-0.68
201212,1.18,1.5,3.51,0.01,-2.86,0.18,3.76
201301,5.57,0.33,0.96,0.0,-1.79,-1.42,3.34
201302,1.29,-0.28,0.11,0.0,1.29,-1.19,0.04
201303,4.03,0.81,-0.19,0.0,1.92,-1.86,1.29
201304,1.55,-2.36,0.45,0.0,0.22,-1.19,-0.36
201305,2.8,1.73,2.63,0.0,-2.02,1.64,3.34
201306,-1.2,1.33,0.03,0.0,0.52,0.5,-0.64
201307,5.65,1.86,0.57,0.0,1.76,1.94,1.66
201308,-2.71,0.28,-2.69,0.0,0.02,-0.81,-1.35
201309,3.77,2.91,-1.22,0.0,3.06,-0.46,0.02
201310,4.18,-1.56,1.25,0.0,0.08,-0.14,0.3
201311,3.13,1.29,0.32,0.0,0.44,0.67,0.35
201312,2.81,-0.45,-0.02,0.0,0.02,1.35,-1.05
201401,-3.32,0.9,-2.07,0.0,1.71,0.33,1.16
201402,4.65,0.37,-0.31,0.0,2.07,-0.19,-1.3
201403,0.43,-1.85,4.93,0.0,-3.29,2.66,2.91
201404,-0.19,-4.2,1.17,0.0,-3.89,-2.1,0.13
201405,2.06,-1.88,-0.13,0.0,0.87,0.47,-0.7
201406,2.61,3.08,-0.7,0.0,0.69,-0.52,0.4
201407,-2.04,-4.29,0.03,0.0,-0.12,2.66,0.28
201408,4.24,0.4,-0.45,0.0,0.82,1.61,-1.35
201409,-1.97,-3.72,-1.34,0.0,0.5,-0.19,-1.09
201410,2.52,4.2,-1.81,0.0,-0.06,-2.6,-3.22
201411,2.55,-2.06,-3.09,0.0,0.69,-3.29,-1.57
201412,-0.06,2.49,2.27,0.0,1.12,-1.01,0.46
201501,-3.11,-0.55,-3.58,0.0,3.84,-0.42,-3.34
201502,6.13,0.61,-1.86,0.0,-2.82,3.54,-2.04
201503,-1.12,3.04,-0.37,0.0,2.74,-0.12,-2.52
201504,0.59,-3.03,1.82,0.0,-7.27,4.12,1.2
201505,1.36,0.92,-1.14,0.0,5.82,2.4,-0.81
201506,-1.53,2.9,-0.79,0.0,3.01,-3.58,-0.98
201507,1.54,-4.19,-4.13,0.0,9.98,-4.93,-1.6
201508,-6.04,0.33,2.77,0.0,-2.09,1.51,1.26
201509,-3.07,-2.63,0.56,0.0,5.22,-3.17,0.07
201510,7.75,-1.87,-0.46,0.0,-3.28,0.9,-0.68
201511,0.56,3.59,-0.42,0.0,2.28,0.08,-0.07
201512,-2.17,-2.82,-2.61,0.01,3.36,1.15,-2.45
201601,-5.77,-3.43,2.09,0.01,1.44,-2.85,-1.1
201602,-0.07,0.71,-0.57,0.02,-4.38,-0.93,0.67
201603,6.96,0.82,1.19,0.02,-5.01,1.54,4.11
201604,0.91,0.74,3.28,0.01,-6.02,0.42,4.94
201605,1.78,-0.18,-1.66,0.01,1.42,0.11,-2.22
201606,-0.05,0.6,-1.48,0.02,4.13,1.44,1.4
201607,3.95,2.51,-1.27,0.02,-3.34,4.53,-0.22
201608,0.49,1.18,3.13,0.02,-3.49,-0.35,0.69
201609,0.25,2.13,-1.23,0.02,0.19,0.03,1.76
201610,-2.02,-4.42,4.12,0.02,0.6,2.55,-0.97
201611,4.86,5.67,8.19,0.01,-4.62,0.31,2.18
201612,1.81,0.08,3.56,0.03,-0.26,-1.17,-2.72
201701,1.94,-1.14,-2.76,0.04,-0.93,3.34,-1.27
201702,3.57,-2.02,-1.68,0.04,-1.65,-1.06,-3.33
201703,0.17,1.14,-3.32,0.03,-1.02,-0.85,-1.23
201704,1.09,0.72,-2.1,0.05,0.48,-2.1,-3.64
201705,1.06,-2.52,-3.78,0.06,1.48,-3.37,-2.65
201706,0.78,2.23,1.48,0.06,-0.09,4.08,-0.65
201707,1.87,-1.46,-0.24,0.07,1.68,2.0,0.61
201708,0.16,-1.67,-2.09,0.09,3.26,-0.35,-1.93
201709,2.51,4.46,3.12,0.09,-1.32,2.81,0.61
201710,2.25,-1.93,0.21,0.09,4.27,-0.74,-1.82
201711,3.12,-0.58,-0.08,0.08,-0.87,0.42,0.73
201712,1.06,-1.32,0.05,0.09,-1.54,-0.76,2.06
201801,5.57,-3.15,-1.33,0.12,4.05,0.66,-1.92
201802,-3.65,0.23,-1.07,0.11,3.58,-2.37,-3.43
201803,-2.35,4.05,-0.23,0.11,-1.13,0.32,1.95
201804,0.28,1.14,0.54,0.14,0.36,-0.78,2.84
201805,2.65,5.26,-3.18,0.14,3.89,-0.1,-0.23
201806,0.48,1.15,-2.33,0.14,-2.35,0.63,0.92
201807,3.19,-2.23,0.47,0.16,-1.41,1.78,-1.55
201808,3.44,1.13,-3.98,0.16,5.29,1.53,-2.8
201809,0.06,-2.28,-1.69,0.15,0.04,0.08,1.85
201810,-7.68,-4.77,3.44,0.19,-1.99,1.27,-1.63
201811,1.69,-0.68,0.28,0.18,-1.37,1.23,-4.02
201812,-9.57,-2.37,-1.85,0.2,2.11,-1.61,-2.8
201901,8.4,2.89,-0.46,0.21,-8.68,8.1,2.24
201902,3.4,2.05,-2.67,0.18,0.86,-0.07,-0.65
201903,1.1,-3.03,-4.1,0.19,2.21,0.09,-0.82
201904,3.97,-1.74,2.14,0.21,-2.97,0.88,-3.02
201905,-6.94,-1.31,-2.35,0.21,7.56,0.81,-4.38
201906,6.93,0.27,-0.72,0.18,-2.3,3.84,-0.35
201907,1.19,-1.93,0.47,0.19,2.89,-0.21,-3.11
201908,-2.58,-2.37,-4.77,0.16,6.92,-2.39,-4.91
201909,1.43,-0.97,6.74,0.18,-6.81,5.05,2.71
201910,2.06,0.29,-1.92,0.16,0.15,-0.41,-3.32
201911,3.87,0.79,-2.0,0.12,-2.66,-0.19,0.11
201912,2.77,0.73,1.77,0.14,-1.77,0.64,0.98
202001,-0.11,-3.11,-6.23,0.13,5.98,2.56,-5.15
202002,-8.13,1.07,-3.79,0.12,-0.4,-2.39,-1.64
202003,-13.39,-4.86,-13.95,0.13,7.97,-11.6,-8.5
202004,13.65,2.47,-1.26,0.0,-5.23,15.68,3.08
202005,5.58,2.47,-4.89,0.01,0.43,-3.28,-2.49
202006,2.46,2.7,-2.17,0.01,-0.73,-1.9,1.83
202007,5.77,-2.32,-1.37,0.01,7.61,-3.3,-0.13
202008,7.63,-0.22,-2.96,0.01,0.55,-2.36,1.92
202009,-3.63,0.04,-2.68,0.01,3.12,0.41,-3.0
202010,-2.1,4.37,4.22,0.01,-3.05,0.58,-0.97
202011,12.47,5.81,2.13,0.01,-12.43,3.01,6.13
202012,4.63,4.89,-1.5,0.01,-2.32,-2.98,-0.67
202101,-0.03,7.34,2.97,0.01,4.5,0.76,9.31
202102,2.78,2.06,7.17,0.0,-7.89,4.5,4.23
202103,3.08,-2.37,7.39,0.0,-6.14,-0.9,3.23
202104,4.93,-3.2,-0.95,0.0,1.16,1.32,-1.83
202105,0.29,-0.25,7.09,0.0,0.88,1.34,5.37
202106,2.75,1.7,-7.83,0.0,2.2,3.11,-1.8
202107,1.27,-3.99,-1.78,0.0,-2.25,-0.71,-7.4
202108,2.91,-0.43,-0.15,0.0,2.51,-1.54,-1.07
202109,-4.37,0.72,5.09,0.0,1.49,0.76,4.79
202110,6.65,-2.34,-0.49,0.0,3.19,-1.61,-3.14
202111,-1.55,-1.32,-0.45,0.0,0.9,-2.75,-4.12
202112,3.1,-1.65,3.26,0.01,-2.6,-0.21,-0.14
202201,-6.25,-5.93,12.75,0.0,-2.52,-4.7,11.87
202202,-2.29,2.21,3.08,0.0,1.76,-3.31,5.25
202203,3.05,-1.6,-1.8,0.01,3.01,0.08,1.41
202204,-9.46,-1.4,6.17,0.01,4.87,-1.97,7.01
202205,-0.34,-1.83,8.39,0.03,2.46,-2.09,5.79
202206,-8.43,2.1,-5.98,0.06,0.77,1.65,-2.02
202207,9.57,2.8,-4.1,0.08,-3.94,6.32,-6.46
202208,-3.77,1.37,0.3,0.19,1.99,1.7,4.22
202209,-9.35,-0.79,0.06,0.19,3.47,-1.61,-1.26
202210,7.83,0.09,8.05,0.23,3.87,0.33,9.13
202211,4.6,-3.4,1.38,0.29,-2.01,0.55,-0.72
202212,-6.41,-0.68,1.32,0.33,4.52,-3.42,2.06
